"godina","opstina","vakcina","planirano","vakcinisano"
2021,"Кучево","MMR 1+2",,2
2020,"Кучево","MMR 2",92,90
2020,"Кучево","MMR 2",,11
2021,"Кучево","MMR 2",75,65
2021,"Кучево","MMR 2",,1
2020,"Кучево","PCV 10",75,59
2021,"Кучево","PCV 10",75,74
2020,"Кучево","PCV 10 rev.",75,32
2021,"Кучево","PCV 10 rev.",75,73
2020,"Лазаревац","bOPV rev. 2",550,498
2020,"Лазаревац","bOPV rev. 3",780,545
2020,"Лазаревац","DT rev. 2",600,472
2021,"Лазаревац","DT rev. 2",565,562
2020,"Лазаревац","dT rev. 3",780,563
2021,"Лазаревац","dT rev. 3",564,485
2020,"Лазаревац","DTаP-IPV-Hib",580,558
2021,"Лазаревац","DTаP-IPV-Hib",518,517
2020,"Лазаревац","DTаP-IPV-Hib rev. 1",680,517
2021,"Лазаревац","DTаP-IPV-Hib rev. 1",720,438
2020,"Лазаревац","Hep B",600,550
2021,"Лазаревац","Hep B",564,508
2021,"Лазаревац","Hep B",,10
2021,"Лазаревац","IPV rev. 2",565,562
2020,"Лазаревац","MMR 1",762,512
2020,"Лазаревац","MMR 1",,14
2021,"Лазаревац","MMR 1",800,415
2021,"Лазаревац","MMR 1",,11
2020,"Лазаревац","MMR 1+2",,8
2021,"Лазаревац","MMR 1+2",,3
2020,"Лазаревац","MMR 2",500,497
2020,"Лазаревац","MMR 2",,8
2021,"Лазаревац","MMR 2",565,562
2020,"Лазаревац","PCV 10",578,535
2021,"Лазаревац","PCV 10",515,503
2020,"Лазаревац","PCV 10 rev.",453,383
2021,"Лазаревац","PCV 10 rev.",728,403
2020,"Лајковац","bOPV rev. 2",114,112
2020,"Лајковац","bOPV rev. 3",134,76
2020,"Лајковац","DT rev. 2",114,96
2021,"Лајковац","DT rev. 2",122,118
2020,"Лајковац","dT rev. 3",134,103
2021,"Лајковац","dT rev. 3",136,100
2020,"Лајковац","DTаP-IPV-Hib",108,106
2021,"Лајковац","DTаP-IPV-Hib",126,126
2020,"Лајковац","DTаP-IPV-Hib rev. 1",112,94
2021,"Лајковац","DTаP-IPV-Hib rev. 1",127,99
2020,"Лајковац","Hep B",108,108
2020,"Лајковац","Hep B",,3
2021,"Лајковац","Hep B",124,115
2021,"Лајковац","Hep B",,12
2021,"Лајковац","IPV rev. 2",122,111
2020,"Лајковац","MMR 1",112,83
2020,"Лајковац","MMR 1",,2
2021,"Лајковац","MMR 1",127,104
2021,"Лајковац","MMR 1",,9
2020,"Лајковац","MMR 2",114,112
2021,"Лајковац","MMR 2",122,122
2021,"Лајковац","MMR 2",,7
2020,"Лајковац","PCV 10",108,96
2021,"Лајковац","PCV 10",132,132
2020,"Лајковац","PCV 10 rev.",115,115
2021,"Лајковац","PCV 10 rev.",127,97
2020,"Лапово","bOPV rev. 2",47,46
2020,"Лапово","bOPV rev. 3",68,68
2020,"Лапово","DT rev. 2",47,46
2021,"Лапово","DT rev. 2",58,54
2020,"Лапово","dT rev. 3",68,68
2021,"Лапово","dT rev. 3",69,69
2020,"Лапово","DTаP-IPV-Hib",52,52
2021,"Лапово","DTаP-IPV-Hib",58,58
2020,"Лапово","DTаP-IPV-Hib rev. 1",46,46
2021,"Лапово","DTаP-IPV-Hib rev. 1",49,49
2020,"Лапово","Hep B",56,56
2021,"Лапово","Hep B",57,57
2021,"Лапово","IPV rev. 2",58,53
2020,"Лапово","MMR 1",46,46
2021,"Лапово","MMR 1",47,47
2020,"Лапово","MMR 2",47,46
2021,"Лапово","MMR 2",58,53
2020,"Лапово","PCV 10",47,47
2021,"Лапово","PCV 10",58,58
2020,"Лапово","PCV 10 rev.",46,46
2021,"Лапово","PCV 10 rev.",49,49
2020,"Лебане","bOPV rev. 2",154,142
2020,"Лебане","bOPV rev. 3",183,145
2020,"Лебане","DT rev. 2",154,41
2021,"Лебане","DT rev. 2",163,147
2020,"Лебане","dT rev. 3",183,145
2021,"Лебане","dT rev. 3",158,137
2020,"Лебане","DTаP-IPV-Hib",136,136
2021,"Лебане","DTаP-IPV-Hib",150,143
2020,"Лебане","DTаP-IPV-Hib rev. 1",145,135
2021,"Лебане","DTаP-IPV-Hib rev. 1",147,131
2020,"Лебане","Hep B",136,136
2021,"Лебане","Hep B",150,147
2021,"Лебане","IPV rev. 2",163,156
2020,"Лебане","MMR 1",150,136
2021,"Лебане","MMR 1",147,131
2020,"Лебане","MMR 2",154,142
2021,"Лебане","MMR 2",163,156
2020,"Лебане","PCV 10",136,136
2021,"Лебане","PCV 10",150,143
2020,"Лебане","PCV 10 rev.",150,135
2021,"Лебане","PCV 10 rev.",147,131
2020,"Лепосавић","bOPV rev. 2",172,162
2020,"Лепосавић","bOPV rev. 3",158,157
2020,"Лепосавић","DT rev. 2",172,162
2021,"Лепосавић","DT rev. 2",122,121
2020,"Лепосавић","dT rev. 3",158,157
2021,"Лепосавић","dT rev. 3",150,148
2020,"Лепосавић","DTаP-IPV-Hib",139,131
2021,"Лепосавић","DTаP-IPV-Hib",140,135
2020,"Лепосавић","DTаP-IPV-Hib rev. 1",138,116
2021,"Лепосавић","DTаP-IPV-Hib rev. 1",140,125
2020,"Лепосавић","Hep B",139,130
2021,"Лепосавић","Hep B",140,130
2021,"Лепосавић","Hep B",,20
2021,"Лепосавић","IPV rev. 2",122,117
2020,"Лепосавић","MMR 1",138,80
2021,"Лепосавић","MMR 1",140,85
2020,"Лепосавић","MMR 2",172,162
2021,"Лепосавић","MMR 2",122,121
2020,"Лепосавић","PCV 10",139,131
2021,"Лепосавић","PCV 10",140,135
2021,"Лепосавић","PCV 10 rev.",140,109
2020,"Лесковац","bOPV rev. 2",1094,1072
2020,"Лесковац","bOPV rev. 3",1257,1060
2020,"Лесковац","DT rev. 2",1094,90
2021,"Лесковац","DT rev. 2",1079,1071
2020,"Лесковац","dT rev. 3",1257,1042
2021,"Лесковац","dT rev. 3",1247,1207
2020,"Лесковац","DTаP-IPV-Hib",1173,1173
2021,"Лесковац","DTаP-IPV-Hib",1126,1078
2020,"Лесковац","DTаP-IPV-Hib rev. 1",1158,1117
2021,"Лесковац","DTаP-IPV-Hib rev. 1",1159,1092
2020,"Лесковац","Hep B",1173,1112
2020,"Лесковац","Hep B",,103
2021,"Лесковац","Hep B",1126,1059
2021,"Лесковац","Hep B",,29
2021,"Лесковац","IPV rev. 2",1079,1066
2020,"Лесковац","MMR 1",1158,948
2021,"Лесковац","MMR 1",1159,1033
2020,"Лесковац","MMR 2",1094,1046
2020,"Лесковац","MMR 2",,23
2021,"Лесковац","MMR 2",1079,1042
2020,"Лесковац","PCV 10",1173,1146
2021,"Лесковац","PCV 10",1126,1100
2020,"Лесковац","PCV 10 rev.",1158,835
2021,"Лесковац","PCV 10 rev.",1159,936
2020,"Лозница","bOPV rev. 2",675,237
2020,"Лозница","bOPV rev. 3",762,732
2020,"Лозница","DT rev. 2",675,201
2021,"Лозница","DT rev. 2",696,669
2020,"Лозница","dT rev. 3",762,732
2021,"Лозница","dT rev. 3",759,759
2020,"Лозница","DTаP-IPV-Hib",680,660
2021,"Лозница","DTаP-IPV-Hib",630,593
2020,"Лозница","DTаP-IPV-Hib rev. 1",681,648
2021,"Лозница","DTаP-IPV-Hib rev. 1",682,642
2020,"Лозница","Hep B",680,669
2021,"Лозница","Hep B",630,601
2021,"Лозница","IPV rev. 2",705,670
2020,"Лозница","MMR 1",687,687
2021,"Лозница","MMR 1",630,595
2020,"Лозница","MMR 2",675,675
2021,"Лозница","MMR 2",696,590
2020,"Лозница","PCV 10",660,658
2021,"Лозница","PCV 10",630,593
2020,"Лозница","PCV 10 rev.",681,643
2021,"Лозница","PCV 10 rev.",682,642
2020,"Лучани","bOPV rev. 2",125,125
2020,"Лучани","bOPV rev. 3",140,137
2020,"Лучани","DT rev. 2",125,102
2021,"Лучани","DT rev. 2",163,163
2020,"Лучани","dT rev. 3",140,137
2021,"Лучани","dT rev. 3",152,152
2020,"Лучани","DTаP-IPV-Hib",115,111
2021,"Лучани","DTаP-IPV-Hib",122,120
2020,"Лучани","DTаP-IPV-Hib rev. 1",120,119
2021,"Лучани","DTаP-IPV-Hib rev. 1",130,129
2020,"Лучани","Hep B",115,111
2021,"Лучани","Hep B",122,114
2021,"Лучани","IPV rev. 2",163,163
2020,"Лучани","MMR 1",120,113
2020,"Лучани","MMR 1",,1
2021,"Лучани","MMR 1",127,127
2021,"Лучани","MMR 1",,1
2020,"Лучани","MMR 1+2",,1
2021,"Лучани","MMR 1+2",,1
2020,"Лучани","MMR 2",120,113
2020,"Лучани","MMR 2",,1
2021,"Лучани","MMR 2",163,163
2021,"Лучани","MMR 2",,1
2020,"Лучани","PCV 10",115,110
2021,"Лучани","PCV 10",122,119
2020,"Лучани","PCV 10 rev.",120,84
2021,"Лучани","PCV 10 rev.",125,121
2020,"Љиг","bOPV rev. 2",73,73
2020,"Љиг","bOPV rev. 3",115,115
2020,"Љиг","DT rev. 2",73,69
2021,"Љиг","DT rev. 2",98,98
2020,"Љиг","dT rev. 3",115,115
2021,"Љиг","dT rev. 3",109,109
2020,"Љиг","DTаP-IPV-Hib",82,82
2021,"Љиг","DTаP-IPV-Hib",98,98
2020,"Љиг","DTаP-IPV-Hib rev. 1",90,90
2021,"Љиг","DTаP-IPV-Hib rev. 1",90,90
2020,"Љиг","Hep B",94,94
2021,"Љиг","Hep B",71,67
2021,"Љиг","IPV rev. 2",95,70
2020,"Љиг","MMR 1",83,75
2021,"Љиг","MMR 1",84,84
2021,"Љиг","MMR 1",,1
2020,"Љиг","MMR 2",73,73
2020,"Љиг","MMR 2",,1
2021,"Љиг","MMR 2",95,95
2020,"Љиг","PCV 10",82,82
2021,"Љиг","PCV 10",76,76
2020,"Љиг","PCV 10 rev.",89,89
2021,"Љиг","PCV 10 rev.",90,90
2020,"Љубовија","bOPV rev. 2",120,120
2020,"Љубовија","bOPV rev. 3",122,122
2020,"Љубовија","DT rev. 2",120,120
2021,"Љубовија","DT rev. 2",95,95
2020,"Љубовија","dT rev. 3",122,122
2021,"Љубовија","dT rev. 3",114,114
2020,"Љубовија","DTаP-IPV-Hib",97,97
2021,"Љубовија","DTаP-IPV-Hib",78,78
2020,"Љубовија","DTаP-IPV-Hib rev. 1",113,113
2021,"Љубовија","DTаP-IPV-Hib rev. 1",97,97
2020,"Љубовија","Hep B",99,99
2021,"Љубовија","Hep B",74,74
2021,"Љубовија","IPV rev. 2",95,95
2020,"Љубовија","MMR 1",98,98
2021,"Љубовија","MMR 1",96,96
2020,"Љубовија","MMR 2",120,120
2021,"Љубовија","MMR 2",93,93
2020,"Љубовија","PCV 10",97,97
2021,"Љубовија","PCV 10",78,78
2020,"Љубовија","PCV 10 rev.",109,109
2021,"Љубовија","PCV 10 rev.",97,97
2020,"Мајданпек","bOPV rev. 2",102,95
2020,"Мајданпек","bOPV rev. 3",156,156
2020,"Мајданпек","DT rev. 2",102,85
2021,"Мајданпек","DT rev. 2",100,94
2020,"Мајданпек","dT rev. 3",156,156
2021,"Мајданпек","dT rev. 3",107,103
2020,"Мајданпек","DTаP-IPV-Hib",101,98
2021,"Мајданпек","DTаP-IPV-Hib",94,82
2020,"Мајданпек","DTаP-IPV-Hib rev. 1",106,99
2021,"Мајданпек","DTаP-IPV-Hib rev. 1",94,92
2020,"Мајданпек","Hep B",101,95
2021,"Мајданпек","Hep B",94,79
2021,"Мајданпек","IPV rev. 2",100,97
2020,"Мајданпек","MMR 1",106,102
2021,"Мајданпек","MMR 1",94,94
2020,"Мајданпек","MMR 2",102,101
2021,"Мајданпек","MMR 2",100,94
2020,"Мајданпек","PCV 10",101,98
2021,"Мајданпек","PCV 10",94,85
2020,"Мајданпек","PCV 10 rev.",106,99
2021,"Мајданпек","PCV 10 rev.",94,91
2020,"Мали Зворник","bOPV rev. 2",72,6
2020,"Мали Зворник","bOPV rev. 3",87,86
2020,"Мали Зворник","DT rev. 2",72,5
2021,"Мали Зворник","DT rev. 2",71,71
2020,"Мали Зворник","dT rev. 3",87,86
2021,"Мали Зворник","dT rev. 3",80,80
2020,"Мали Зворник","DTаP-IPV-Hib",95,91
2021,"Мали Зворник","DTаP-IPV-Hib",80,66
2020,"Мали Зворник","DTаP-IPV-Hib rev. 1",81,79
2021,"Мали Зворник","DTаP-IPV-Hib rev. 1",93,75
2020,"Мали Зворник","Hep B",92,90
2020,"Мали Зворник","Hep B",,5
2021,"Мали Зворник","Hep B",78,63
2021,"Мали Зворник","IPV rev. 2",71,71
2020,"Мали Зворник","MMR 1",79,77
2021,"Мали Зворник","MMR 1",92,75
2020,"Мали Зворник","MMR 2",72,6
2021,"Мали Зворник","MMR 2",71,68
2020,"Мали Зворник","PCV 10",95,91
2021,"Мали Зворник","PCV 10",80,66
2020,"Мали Зворник","PCV 10 rev.",81,79
2021,"Мали Зворник","PCV 10 rev.",93,75
2020,"Мали Иђош","bOPV rev. 2",100,93
2020,"Мали Иђош","bOPV rev. 3",120,112
2020,"Мали Иђош","DT rev. 2",100,93
2021,"Мали Иђош","DT rev. 2",105,103
2020,"Мали Иђош","dT rev. 3",120,112
2021,"Мали Иђош","dT rev. 3",110,102
2020,"Мали Иђош","DTаP-IPV-Hib",100,94
2021,"Мали Иђош","DTаP-IPV-Hib",100,94
2020,"Мали Иђош","DTаP-IPV-Hib rev. 1",100,98
2021,"Мали Иђош","DTаP-IPV-Hib rev. 1",105,98
2020,"Мали Иђош","Hep B",100,94
2020,"Мали Иђош","Hep B",,1
2021,"Мали Иђош","Hep B",100,95
2021,"Мали Иђош","Hep B",,5
2021,"Мали Иђош","IPV rev. 2",105,103
2020,"Мали Иђош","MMR 1",100,97
2021,"Мали Иђош","MMR 1",105,97
2021,"Мали Иђош","MMR 1",,3
2020,"Мали Иђош","MMR 2",100,94
2021,"Мали Иђош","MMR 2",105,101
2021,"Мали Иђош","MMR 2",,3
2020,"Мали Иђош","PCV 10",100,94
2021,"Мали Иђош","PCV 10",100,94
2020,"Мали Иђош","PCV 10 rev.",100,96
2021,"Мали Иђош","PCV 10 rev.",105,92
2020,"Мало Црниће","bOPV rev. 2",59,38
2020,"Мало Црниће","bOPV rev. 3",77,1
2020,"Мало Црниће","DT rev. 2",59,43
2021,"Мало Црниће","DT rev. 2",67,58
2020,"Мало Црниће","dT rev. 3",77,1
2021,"Мало Црниће","dT rev. 3",76,75
2020,"Мало Црниће","DTаP-IPV-Hib",48,43
2021,"Мало Црниће","DTаP-IPV-Hib",48,42
2020,"Мало Црниће","DTаP-IPV-Hib rev. 1",54,41
2021,"Мало Црниће","DTаP-IPV-Hib rev. 1",49,49
2020,"Мало Црниће","Hep B",48,39
2021,"Мало Црниће","Hep B",48,42
2021,"Мало Црниће","IPV rev. 2",67,51
2020,"Мало Црниће","MMR 1",48,26
2020,"Мало Црниће","MMR 1",,2
2021,"Мало Црниће","MMR 1",48,36
2020,"Мало Црниће","MMR 2",59,40
2020,"Мало Црниће","MMR 2",,1
2021,"Мало Црниће","MMR 2",67,55
2020,"Мало Црниће","PCV 10",48,43
2021,"Мало Црниће","PCV 10",48,42
2020,"Мало Црниће","PCV 10 rev.",54,41
2021,"Мало Црниће","PCV 10 rev.",49,49
2020,"Медвеђа","bOPV rev. 2",56,39
2020,"Медвеђа","bOPV rev. 3",68,68
2020,"Медвеђа","DT rev. 2",56,39
2021,"Медвеђа","DT rev. 2",50,50
2020,"Медвеђа","dT rev. 3",68,68
2021,"Медвеђа","dT rev. 3",60,58
2020,"Медвеђа","DTаP-IPV-Hib",48,48
2021,"Медвеђа","DTаP-IPV-Hib",55,50
2020,"Медвеђа","DTаP-IPV-Hib rev. 1",43,43
2021,"Медвеђа","DTаP-IPV-Hib rev. 1",55,36
2020,"Медвеђа","Hep B",48,48
2021,"Медвеђа","Hep B",55,38
2021,"Медвеђа","IPV rev. 2",50,50
2020,"Медвеђа","MMR 1",43,43
2021,"Медвеђа","MMR 1",55,38
2020,"Медвеђа","MMR 2",56,38
2021,"Медвеђа","MMR 2",50,50
2020,"Медвеђа","PCV 10",48,48
2021,"Медвеђа","PCV 10",55,51
2020,"Медвеђа","PCV 10 rev.",43,38
2021,"Медвеђа","PCV 10 rev.",55,51
2020,"Мерошина","bOPV rev. 2",110,80
2020,"Мерошина","bOPV rev. 3",110,96
2020,"Мерошина","DT rev. 2",110,57
2021,"Мерошина","DT rev. 2",115,115
2020,"Мерошина","dT rev. 3",110,96
2021,"Мерошина","dT rev. 3",169,169
2020,"Мерошина","DTаP-IPV-Hib",90,91
2021,"Мерошина","DTаP-IPV-Hib",88,77
2020,"Мерошина","DTаP-IPV-Hib rev. 1",90,68
2021,"Мерошина","DTаP-IPV-Hib rev. 1",88,69
2020,"Мерошина","Hep B",90,83
2020,"Мерошина","Hep B",,1
2021,"Мерошина","Hep B",88,85
2021,"Мерошина","IPV rev. 2",100,31
2020,"Мерошина","MMR 1",90,60
2021,"Мерошина","MMR 1",88,48
2021,"Мерошина","MMR 1",,25
2020,"Мерошина","MMR 2",110,82
2021,"Мерошина","MMR 2",88,68
2021,"Мерошина","MMR 2",,11
2020,"Мерошина","PCV 10",90,78
2021,"Мерошина","PCV 10",88,68
2020,"Мерошина","PCV 10 rev.",90,41
2021,"Мерошина","PCV 10 rev.",88,51
2020,"Мионица","bOPV rev. 2",94,94
2020,"Мионица","bOPV rev. 3",106,106
2020,"Мионица","DT rev. 2",89,85
2021,"Мионица","DT rev. 2",77,76
2020,"Мионица","dT rev. 3",106,106
2021,"Мионица","dT rev. 3",98,98
2020,"Мионица","DTаP-IPV-Hib",72,72
2021,"Мионица","DTаP-IPV-Hib",73,73
2020,"Мионица","DTаP-IPV-Hib rev. 1",80,54
2021,"Мионица","DTаP-IPV-Hib rev. 1",70,70
2020,"Мионица","Hep B",72,71
2021,"Мионица","Hep B",72,72
2021,"Мионица","Hep B",,2
2021,"Мионица","IPV rev. 2",77,75
2020,"Мионица","MMR 1",80,66
2021,"Мионица","MMR 1",67,61
2021,"Мионица","MMR 1",,1
2020,"Мионица","MMR 2",95,94
2021,"Мионица","MMR 2",77,75
2020,"Мионица","PCV 10",72,72
2021,"Мионица","PCV 10",73,73
2020,"Мионица","PCV 10 rev.",80,54
2021,"Мионица","PCV 10 rev.",70,70
2020,"Младеновац","bOPV rev. 2",500,443
2020,"Младеновац","bOPV rev. 3",576,464
2020,"Младеновац","DT rev. 2",500,443
2021,"Младеновац","DT rev. 2",500,491
2020,"Младеновац","dT rev. 3",576,464
2021,"Младеновац","dT rev. 3",576,414
2020,"Младеновац","DTаP-IPV-Hib",543,502
2021,"Младеновац","DTаP-IPV-Hib",543,476
2020,"Младеновац","DTаP-IPV-Hib rev. 1",544,384
2021,"Младеновац","DTаP-IPV-Hib rev. 1",544,433
2020,"Младеновац","Hep B",580,354
2021,"Младеновац","Hep B",580,472
2021,"Младеновац","Hep B",,38
2021,"Младеновац","IPV rev. 2",500,454
2020,"Младеновац","MMR 1",506,410
2020,"Младеновац","MMR 1",,9
2021,"Младеновац","MMR 1",506,402
2021,"Младеновац","MMR 1",,94
2020,"Младеновац","MMR 2",488,450
2020,"Младеновац","MMR 2",,15
2021,"Младеновац","MMR 2",488,480
2021,"Младеновац","MMR 2",,17
2020,"Младеновац","PCV 10",543,502
2021,"Младеновац","PCV 10",543,476
2020,"Младеновац","PCV 10 rev.",544,384
2021,"Младеновац","PCV 10 rev.",544,433
2020,"Н. Кнежевац","bOPV rev. 2",66,65
2020,"Н. Кнежевац","bOPV rev. 3",79,66
2020,"Н. Кнежевац","DT rev. 2",66,62
2021,"Н. Кнежевац","DT rev. 2",72,70
2020,"Н. Кнежевац","dT rev. 3",79,66
2021,"Н. Кнежевац","dT rev. 3",70,70
2020,"Н. Кнежевац","DTаP-IPV-Hib",70,53
2021,"Н. Кнежевац","DTаP-IPV-Hib",70,63
2020,"Н. Кнежевац","DTаP-IPV-Hib rev. 1",86,86
2021,"Н. Кнежевац","DTаP-IPV-Hib rev. 1",71,61
2020,"Н. Кнежевац","Hep B",70,49
2021,"Н. Кнежевац","Hep B",70,65
2021,"Н. Кнежевац","IPV rev. 2",72,70
2020,"Н. Кнежевац","MMR 1",78,68
2020,"Н. Кнежевац","MMR 1",,2
2021,"Н. Кнежевац","MMR 1",71,66
2021,"Н. Кнежевац","MMR 1",,14
2021,"Н. Кнежевац","MMR 1+2",,3
2020,"Н. Кнежевац","MMR 2",66,66
2021,"Н. Кнежевац","MMR 2",72,60
2021,"Н. Кнежевац","MMR 2",,11
2020,"Н. Кнежевац","PCV 10",70,53
2021,"Н. Кнежевац","PCV 10",70,63
2020,"Н. Кнежевац","PCV 10 rev.",86,0
2021,"Н. Кнежевац","PCV 10 rev.",71,61
2020,"Неготин","bOPV rev. 2",207,207
2020,"Неготин","bOPV rev. 3",234,232
2020,"Неготин","DT rev. 2",207,204
2021,"Неготин","DT rev. 2",200,197
2020,"Неготин","dT rev. 3",234,232
2021,"Неготин","dT rev. 3",236,233
2020,"Неготин","DTаP-IPV-Hib",151,149
2021,"Неготин","DTаP-IPV-Hib",159,154
2020,"Неготин","DTаP-IPV-Hib rev. 1",186,175
2021,"Неготин","DTаP-IPV-Hib rev. 1",155,148
2020,"Неготин","Hep B",151,149
2021,"Неготин","Hep B",159,154
2021,"Неготин","IPV rev. 2",200,199
2020,"Неготин","MMR 1",186,179
2021,"Неготин","MMR 1",155,149
2021,"Неготин","MMR 1",,2
2021,"Неготин","MMR 1+2",,2
2020,"Неготин","MMR 2",207,207
2020,"Неготин","MMR 2",,3
2021,"Неготин","MMR 2",200,197
2021,"Неготин","MMR 2",,1
2020,"Неготин","PCV 10",150,148
2021,"Неготин","PCV 10",159,150
2020,"Неготин","PCV 10 rev.",186,175
2021,"Неготин","PCV 10 rev.",155,148
2020,"Ниш","bOPV rev. 2",2350,1792
2020,"Ниш","bOPV rev. 3",2400,1745
2020,"Ниш","DT rev. 2",2350,1571
2021,"Ниш","DT rev. 2",2350,2284
2020,"Ниш","dT rev. 3",2400,1797
2021,"Ниш","dT rev. 3",2400,1661
2020,"Ниш","DTаP-IPV-Hib",2470,2470
2021,"Ниш","DTаP-IPV-Hib",2470,2407
2020,"Ниш","DTаP-IPV-Hib rev. 1",2490,2490
2021,"Ниш","DTаP-IPV-Hib rev. 1",2490,2244
2020,"Ниш","Hep B",2470,2028
2020,"Ниш","Hep B",,493
2021,"Ниш","Hep B",2470,2348
2021,"Ниш","Hep B",,32
2021,"Ниш","IPV rev. 2",2350,2041
2020,"Ниш","MMR 1",2350,1353
2020,"Ниш","MMR 1",,337
2021,"Ниш","MMR 1",2490,1910
2021,"Ниш","MMR 1",,374
2020,"Ниш","MMR 1+2",,1466
2020,"Ниш","MMR 2",1852,1496
2021,"Ниш","MMR 2",2350,2138
2021,"Ниш","MMR 2",,187
2020,"Ниш","PCV 10",2470,2367
2021,"Ниш","PCV 10",2470,2392
2020,"Ниш","PCV 10 rev.",2470,1641
2021,"Ниш","PCV 10 rev.",2490,1997
2020,"Нова Варош","bOPV rev. 2",82,76
2020,"Нова Варош","bOPV rev. 3",123,123
2020,"Нова Варош","DT rev. 2",82,76
2021,"Нова Варош","DT rev. 2",112,109
2020,"Нова Варош","dT rev. 3",123,123
2021,"Нова Варош","dT rev. 3",114,113
2020,"Нова Варош","DTаP-IPV-Hib",100,100
2021,"Нова Варош","DTаP-IPV-Hib",95,87
2020,"Нова Варош","DTаP-IPV-Hib rev. 1",95,95
2021,"Нова Варош","DTаP-IPV-Hib rev. 1",95,83
2020,"Нова Варош","Hep B",100,100
2021,"Нова Варош","Hep B",95,90
2021,"Нова Варош","IPV rev. 2",112,109
2020,"Нова Варош","MMR 1",100,100
2021,"Нова Варош","MMR 1",95,80
2021,"Нова Варош","MMR 1",,1
2020,"Нова Варош","MMR 2",82,76
2021,"Нова Варош","MMR 2",112,95
2020,"Нова Варош","PCV 10",100,100
2021,"Нова Варош","PCV 10",95,87
2020,"Нова Варош","PCV 10 rev.",95,95
2021,"Нова Варош","PCV 10 rev.",100,83
2020,"Нови Београд","bOPV rev. 2",2200,1860
2020,"Нови Београд","bOPV rev. 3",2200,2157
2020,"Нови Београд","DT rev. 2",2200,1605
2021,"Нови Београд","DT rev. 2",2600,2166
2020,"Нови Београд","dT rev. 3",2200,2150
2021,"Нови Београд","dT rev. 3",1956,626
2020,"Нови Београд","DTаP-IPV-Hib",2200,2152
2021,"Нови Београд","DTаP-IPV-Hib",2168,2081
2020,"Нови Београд","DTаP-IPV-Hib rev. 1",2400,2213
2021,"Нови Београд","DTаP-IPV-Hib rev. 1",2348,2029
2020,"Нови Београд","Hep B",2300,2135
2021,"Нови Београд","Hep B",2189,1964
2021,"Нови Београд","Hep B",,26
2021,"Нови Београд","IPV rev. 2",2674,2223
2020,"Нови Београд","MMR 1",2300,1960
2020,"Нови Београд","MMR 1",,22
2021,"Нови Београд","MMR 1",2530,1906
2021,"Нови Београд","MMR 1",,105
2020,"Нови Београд","MMR 1+2",,21
2021,"Нови Београд","MMR 1+2",,16
2020,"Нови Београд","MMR 2",2400,1915
2020,"Нови Београд","MMR 2",,28
2021,"Нови Београд","MMR 2",2819,2176
2021,"Нови Београд","MMR 2",,48
2020,"Нови Београд","PCV 10",2270,2132
2021,"Нови Београд","PCV 10",2188,1998
2020,"Нови Београд","PCV 10 rev.",2480,1893
2021,"Нови Београд","PCV 10 rev.",2457,2029
2020,"Нови Бечеј","bOPV rev. 2",197,175
2020,"Нови Бечеј","bOPV rev. 3",229,229
2020,"Нови Бечеј","DT rev. 2",197,177
2021,"Нови Бечеј","DT rev. 2",229,184
2020,"Нови Бечеј","dT rev. 3",229,229
2021,"Нови Бечеј","dT rev. 3",226,221
2020,"Нови Бечеј","DTаP-IPV-Hib",218,205
2021,"Нови Бечеј","DTаP-IPV-Hib",225,215
2020,"Нови Бечеј","DTаP-IPV-Hib rev. 1",218,185
2021,"Нови Бечеј","DTаP-IPV-Hib rev. 1",225,173
2020,"Нови Бечеј","Hep B",218,209
2020,"Нови Бечеј","Hep B",,143
2021,"Нови Бечеј","Hep B",225,202
2021,"Нови Бечеј","Hep B",,10
2021,"Нови Бечеј","IPV rev. 2",229,200
2020,"Нови Бечеј","MMR 1",218,184
2020,"Нови Бечеј","MMR 1",,10
2021,"Нови Бечеј","MMR 1",225,183
2021,"Нови Бечеј","MMR 1",,4
2020,"Нови Бечеј","MMR 2",197,174
2020,"Нови Бечеј","MMR 2",,5
2021,"Нови Бечеј","MMR 2",229,188
2021,"Нови Бечеј","MMR 2",,1
2020,"Нови Бечеј","PCV 10",218,188
2021,"Нови Бечеј","PCV 10",225,209
2020,"Нови Бечеј","PCV 10 rev.",218,142
2021,"Нови Бечеј","PCV 10 rev.",225,160
2020,"Нови Пазар","bOPV rev. 2",1528,1152
2020,"Нови Пазар","bOPV rev. 3",1709,269
2020,"Нови Пазар","DT rev. 2",1528,852
2021,"Нови Пазар","DT rev. 2",1483,1310
2020,"Нови Пазар","dT rev. 3",1709,401
2021,"Нови Пазар","dT rev. 3",1658,1007
2020,"Нови Пазар","DTаP-IPV-Hib",1654,1089
2021,"Нови Пазар","DTаP-IPV-Hib",1593,1134
2020,"Нови Пазар","DTаP-IPV-Hib rev. 1",1465,760
2021,"Нови Пазар","DTаP-IPV-Hib rev. 1",1654,658
2020,"Нови Пазар","Hep B",1654,925
2020,"Нови Пазар","Hep B",,193
2021,"Нови Пазар","Hep B",1593,1075
2021,"Нови Пазар","Hep B",,161
2021,"Нови Пазар","IPV rev. 2",1483,946
2020,"Нови Пазар","MMR 1",1465,792
2020,"Нови Пазар","MMR 1",,72
2021,"Нови Пазар","MMR 1",1654,779
2021,"Нови Пазар","MMR 1",,99
2020,"Нови Пазар","MMR 1+2",,41
2021,"Нови Пазар","MMR 1+2",,53
